sha256,FileClass,datetime,Campaign_Tag,Normalized_Tag,Report link,Comment,campaign_tag,normalized_tag,report_link,comments
1aa170383d473b6adb16032942b34eb136dd013ea8e2f5cc8fec7356a92191b3,,set(),C0007,TAG-16,https://www.bitdefender.com/files/News/CaseStudies/study/379/Bitdefender-Whitepaper-Chinese-APT.pdf,https://apt.etda.or.th/cgi-bin/showcard.cgi?g=FunnyDream&n=1,,,,
1b0c82e71a53300c969da61b085c8ce623202722cf3fa2d79160dac16642303f,OOXML,4/25/20 13:20,C0022,Lazarus,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/operation-north-star-a-job-offer-thats-too-good-to-be-true//,"Operation North Star, Operation Death Note",,,,
1c514d9fbd2210b6469174d234daf2cb19d6b098592409164eaa92f9af3b1e8b,PEXE,1/17/18 6:53,C0006,KoreanSpeakingActor,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/mcafee-uncovers-operation-honeybee-malicious-document-campaign-targeting-humanitarian-aid-groups/,North Korean Threat Actors,,,,
1e5525eb2b80ed57635f0922bc5d1c56812fb8e0da64a9333b0ba66c4411b6b4,,set(),C0023,APT29,https://www.welivesecurity.com/wp-content/uploads/2019/10/ESET_Operation_Ghost_Dukes.pdff,"Similarly, the recent samples of the MiniDuke backdoor bear similarities with samples documented more
than five years ago. Figure 7 is the comparison of a function in a MiniDuke backdoor listed by Kaspersky
in 2014 ",,,,
2046bb14d9f63612a6d19d5224727f3607be4e8f8ad13e9efe34620fda2d9d99,CDF,1/20/18 9:48,C0006,KoreanSpeakingActor,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/mcafee-uncovers-operation-honeybee-malicious-document-campaign-targeting-humanitarian-aid-groups/,North Korean Threat Actors,,,,
207e66a3b0f1abfd4721f1b3e9fed8ac89be51e1ec13dd407b4e08fad52113e3,PEXE,1/4/19 11:31,HistoricalGoblinPanda,GoblinPanda,https://go.recordedfuture.com/hubfs/reports/cta-2021-1208.pdf,,,,,
21c1fdd6cfd8ec3ffe3e922f944424b543643dbdab99fa731556f8805b0d5561,PEXE,6/13/17 12:35,C0025,Sandworm,https://www.dragos.com/wp-content/uploads/CRASHOVERRIDE2018.pdf,Launcher Module,,,,
22167aff08db3bc3db144c03845e97f1f07d6081ac856864266083616da30281,PEXE,8/13/20 23:29,C0022,Lazarus,https://www.clearskysec.com/wp-content/uploads/2020/08/Dream-Job-Campaign.pdf,Operation Dream Job,,,,
24eb02947168753e8215661d2f1a38304a227cb798baab3882d504394127a7d5,PEXE,1/17/18 5:45,C0006,KoreanSpeakingActor,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/mcafee-uncovers-operation-honeybee-malicious-document-campaign-targeting-humanitarian-aid-groups/,North Korean Threat Actors,,,,
2523f94bd4fba4af76f4411fe61084a7e7d80dec163c9ccba9226c80b8b31252,,5/28/21 15:34,C0024,APT29,https://www.microsoft.com/en-us/security/blog/2021/05/27/new-sophisticated-email-based-attack-from-nobelium/,,,,,
26a2fa7b45a455c311fd57875d8231c853ea4399be7b9344f2136030b2edc4aa,PEXE,10/29/19 11:17,C0022,Lazarus,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/operation-north-star-a-job-offer-thats-too-good-to-be-true/,Operation Death Note,,,,
26e2d5217f6cadb3232d9053053f79c62cad140ddfc216a594b07536d56eb0af,PEXE,6/17/20 20:38,C0022,Lazarus,https://www.welivesecurity.com/wp-content/uploads/2020/06/ESET_Operation_Interception.pdf,Operation Interception,,,,
2723ac49d3f59b51d96f3ab3605becdef1987242ef3d9d5b8490b0c9abe45049,PEXE,6/18/21 12:33,C0007,TAG-16,https://www.bitdefender.com/files/News/CaseStudies/study/379/Bitdefender-Whitepaper-Chinese-APT.pdf,https://apt.etda.or.th/cgi-bin/showcard.cgi?g=FunnyDream&n=1,,,,
28570122e952f25c92dfb83707c502a5036b9f99770127435cbb8c7e6796cce4,PEXE,11/17/20 18:53,C0007,TAG-16,https://www.bitdefender.com/files/News/CaseStudies/study/379/Bitdefender-Whitepaper-Chinese-APT.pdff,https://apt.etda.or.th/cgi-bin/showcard.cgi?g=FunnyDream&n=1,,,,
28cd09ecad4149eec8665edf79c1c2036df67375f964e7e18a101ca88fe5f8e1,OOXML,7/23/20 9:26,C0022,Lazarus,https://www.clearskysec.com/wp-content/uploads/2020/08/Dream-Job-Campaign.pdf,"Third Infection Method, Operation Dream Job",,,,
2c5e5c86ca4fa172341c6bcbaa50984fb168d650ae9a33f2c6e6dccc1d57b369,PEXE,1/17/18 4:46,C0006,KoreanSpeakingActor,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/mcafee-uncovers-operation-honeybee-malicious-document-campaign-targeting-humanitarian-aid-groups/,North Korean Threat Actors,,,,
2e6dfca6b2b8a11d6eb8933bd7ed7f17ca46499a3ee548bbb086406eb57b2204,PEXE,11/17/20 18:54,C0007,TAG-16,https://www.bitdefender.com/files/News/CaseStudies/study/379/Bitdefender-Whitepaper-Chinese-APT.pdf,https://apt.etda.or.th/cgi-bin/showcard.cgi?g=FunnyDream&n=1,,,,
322aa22163954ff3ff017014e357b756942a2a762f1c55455c83fd594e844fdd,OOXML,5/5/20 10:49,C0022,Lazarus,https://www.clearskysec.com/wp-content/uploads/2020/08/Dream-Job-Campaign.pdf,"Third Infection Method, Operation Dream Job",,,,
32519b85c0b422e4656de6e6c41878e95fd95026267daab4215ee59c107d6c77,PEXE,12/14/20 4:27,C0024,APT29,https://success.trendmicro.com/dcx/s/solution/000283368?language=en_US&sfdcIFrameOrigin=null,,,,,
328b48cd133b4c241e6cd9adf30fabf28f3539cb69f1ef35df263b69f7ff1516,PEXE,1/26/18 6:45,C0006,KoreanSpeakingActor,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/mcafee-uncovers-operation-honeybee-malicious-document-campaign-targeting-humanitarian-aid-groups/,North Korean Threat Actors,,,,
32cabf2952f88283251c36751e04a45bfa78cdb0835460619d4812b882795c03,PEXE,11/17/20 18:53,C0007,TAG-16,https://www.bitdefender.com/files/News/CaseStudies/study/379/Bitdefender-Whitepaper-Chinese-APT.pdf,https://apt.etda.or.th/cgi-bin/showcard.cgi?g=FunnyDream&n=1,,,,
33d2b141b17e6e04da11b2a75ca2dab74de19c1fb7be5065e839f540d267bdca,PEXE,6/17/20 20:38,C0022,Lazarus,https://www.welivesecurity.com/wp-content/uploads/2020/06/ESET_Operation_Interception.pdf,Operation Interception,,,,
356e41492d437e4bb2c98796dd8944d7e4c79a347376e66656705d2d51b440b0,OOXML,8/13/20 23:30,C0022,Lazarus,,"Third Infection Method, Operation Dream Job",,,,
35d63d61f12598d5b85475f85cdad05bee0e0afb3c3e65799d1325a224ac66d5,PEXE,1/12/21 20:28,C0005,APT-C-36,https://www.welivesecurity.com/2021/01/12/operation-spalax-targeted-malware-attacks-colombia/,"Identical NSIS Installers, Similar to APT-C-36",,,,
37a3c01bb5eaf7ecbcfbfde1aab848956d782bb84445384c961edebe8d0e9969,PEXE,4/22/20 18:04,C0022,Lazarus,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/operation-north-star-a-job-offer-thats-too-good-to-be-true/,Operation North Star,,,,
37d54e3d5e8b838f366b9c202f75fa264611a12444e62ae759c31a0d041aa6e4,PEXE,6/13/17 12:27,C0025,Sandworm,https://www.dragos.com/wp-content/uploads/CRASHOVERRIDE2018.pdf,Primary Backdoor,,,,
392b1eaf242eaa780bddde2d0babd5c2723e0ecadc4aa3fb64a3357ca0698987,PEXE,12/5/17 22:31,C0006,KoreanSpeakingActor,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/mcafee-uncovers-operation-honeybee-malicious-document-campaign-targeting-humanitarian-aid-groups/,North Korean Threat Actors,,,,
3e3ab9674142dec46ce389e9e759b6484e847f5c1e1fc682fc638fc837c13571,PEXE,6/13/17 12:26,C0025,Sandworm,https://www.dragos.com/wp-content/uploads/CRASHOVERRIDE2018.pdf,Primary Backdoor,,,,
40fbac7a241bea412734134394ca81c0090698cf0689f2b67c54aa66b7e04670,OOXML,6/10/20 23:33,C0022,Lazarus,,"Third Infection Method, Operation Dream Job",,,,
42a782d342fb70169b07a5c2be054af49f88ffa92d04243b070b5b939eaa4465,CDF,3/2/18 15:41,C0006,KoreanSpeakingActor,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/mcafee-uncovers-operation-honeybee-malicious-document-campaign-targeting-humanitarian-aid-groups/,North Korean Threat Actors,,,,
42f640fc14bda79c0507e6b939e0c0eee013375b972764d453131ad78622bbeb,OOXML,6/25/20 14:25,C0022,Lazarus,,"Third Infection Method, Operation Dream Job",,,,
439c305cd408dbb508e153caab29d17021a7430f1dbaec0c90ac750ba2136f5f,PEXE,1/17/18 5:41,C0006,KoreanSpeakingActor,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/mcafee-uncovers-operation-honeybee-malicious-document-campaign-targeting-humanitarian-aid-groups/,North Korean Threat Actors,,,,
43b6b0af744124da5147aba81a98bc7188718d5d205acf929affab016407d592,OOXML,6/11/20 10:07,C0022,Lazarus,,"Third Infection Method, Operation Dream Job",,,,
4588f52af10e123b050539fe48c317056e944b3ff0f9db9807cfcafaf74e1b8f,CDF,2/4/18 7:42,C0006,KoreanSpeakingActor,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/mcafee-uncovers-operation-honeybee-malicious-document-campaign-targeting-humanitarian-aid-groups/,North Korean Threat Actors,,,,
46c00c94bffc91316d10ed011e9d8168bc4e9c4416387427367005cd632452fe,PEXE,9/4/20 23:28,C0005,Unidentified,https://www.welivesecurity.com/2021/01/12/operation-spalax-targeted-malware-attacks-colombia/,"Unrelated to this campaign. This means that these installers were generated with the same builder, but by different actors. The builder is probably offered in underground forums and includes these benign files",,,,
47b12169eb9933b8481327a9775d1efd4fa077881f023892938056ff06e4f2b4,PEXE,10/19/20 15:04,TAG33,Chinesestate-sponsored,https://go.recordedfuture.com/hubfs/reports/cta-2021-1208.pdf,Falls under CobalStrike Category,,,,
48ae9f16aa87bf92639c24ccfd60b3e06b38560d4aaee158a4e75875e1f23ae6,PEXE,11/19/20 3:47,C0022,Lazarus,,Operation Dream Job,,,,
48b5fb3fa3ea67c2bc0086c41ec755c39d748a7100d71b81f618e82bf1c479f0,LNK,5/26/21 10:46,C0024,APT29,https://www.microsoft.com/en-us/security/blog/2021/05/27/new-sophisticated-email-based-attack-from-nobelium/,,,,,
48b8486979973656a15ca902b7bb973ee5cde9a59e2f3da53c86102d48d7dad8,PEXE,4/25/20 5:57,C0022,Lazarus,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/operation-north-star-a-job-offer-thats-too-good-to-be-true/,"Operation North Star, Operation Death Note",,,,
49724ee7a6baf421ac5a2a3c93d32e796e2a33d7d75bbfc02239fc9f4e3a41e0,OOXML,5/7/20 5:18,C0022,Lazarus,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/operation-north-star-a-job-offer-thats-too-good-to-be-true//,"Operation North Star, Operation Death Note",,,,
4a08c391f91cc72de7a78b5fd5e7f74adfecd77075e191685311fa598e07d806,,set(),Gamaredon,Gamaredon,,,,,,
4ac3836414a384aee4c68e60eca54a848c8727a9e548de2b7ab76ecbd520107a,PEXE,7/14/21 10:48,C0007,TAG-16,https://go.recordedfuture.com/hubfs/reports/cta-2021-1208.pdf,https://apt.etda.or.th/cgi-bin/showcard.cgi?g=FunnyDream&n=1,,,,
4d7ac076c4955f745b17bab9ab5b61aa14832b689b3a9e852fbd77938d23bf99,PEXE,8/7/20 2:14,C0022,Lazarus,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/operation-north-star-a-job-offer-thats-too-good-to-be-true/,"2019 Campaign, Operation North Star",,,,
502402f8568359645d50f1d6e58ab927f05702f6220b60767897b3912b761b99,,set(),C0025,Sandworm,,Primary Backdoor,,,,
56dabf1ddd5c9a93a6f35dd7f210367baee545296838d321dfea6ee49575c9af,,8/13/20 23:31,C0022,Lazarus,https://www.clearskysec.com/wp-content/uploads/2020/08/Dream-Job-Campaign.pdf,"First Infection Vector, Operation Dream Job",,,,
5b8467a9a89d83d721d28fb45fbe0ce53a9ee284b7aad93bff178ed6ea26247a,PEXE,8/3/20 12:16,C0023,APT29,https://www.welivesecurity.com/wp-content/uploads/2019/10/ESET_Operation_Ghost_Dukes.pdf,FatDuke Loader,,,,
5e90afbdfb63110fa3c9cdd79ef474852996a895a6bad66a663e2ccc51dd339b,PEXE,11/17/20 18:53,C0007,TAG-16,https://www.bitdefender.com/files/News/CaseStudies/study/379/Bitdefender-Whitepaper-Chinese-APT.pdf,https://apt.etda.or.th/cgi-bin/showcard.cgi?g=FunnyDream&n=1,,,,
6057b19975818ff4487ee62d5341834c53ab80a507949a52422ab37c7c46b7a1,PEXE,1/10/21 13:15,C0023,APT29,https://www.welivesecurity.com/wp-content/uploads/2019/10/ESET_Operation_Ghost_Dukes.pdff,,,,,
60eee55b6ec18d81db6258277951e69cff31d518d821c566802d1408dd64f898,PEXE,3/2/18 15:32,C0006,KoreanSpeakingActor,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/mcafee-uncovers-operation-honeybee-malicious-document-campaign-targeting-humanitarian-aid-groups/,North Korean Threat Actors,,,,
631c62e067667a02da63a97aeeb556bece8394deee59e62b48f63baecf4cf613,PEXE,4/27/20 18:46,C0007,TAG-16,https://www.bitdefender.com/files/News/CaseStudies/study/379/Bitdefender-Whitepaper-Chinese-APT.pdf,https://apt.etda.or.th/cgi-bin/showcard.cgi?g=FunnyDream&n=1,,,,
63e8488de30c9b615c76d4e568f0a1b738fcad665e58571c299d8e9d7752a637,PEXE,11/17/20 18:53,C0007,TAG-16,https://www.bitdefender.com/files/News/CaseStudies/study/379/Bitdefender-Whitepaper-Chinese-APT.pdf,https://apt.etda.or.th/cgi-bin/showcard.cgi?g=FunnyDream&n=1,,,,
6543180ba4e195b4f80399aae593eb7554588b61e651fce81b91fefa56baec30,PEXE,10/2/21 20:41,C0007,TAG-16,https://go.recordedfuture.com/hubfs/reports/cta-2021-1208.pdf,https://apt.etda.or.th/cgi-bin/showcard.cgi?g=FunnyDream&n=1,,,,
66e5371c3da7dc9a80fb4c0fabfa23a30d82650c434eec86a95b6e239eccab88,OOXML,5/7/20 5:16,C0022,Lazarus,,"Operation North Star, Operation Death Note",,,,
670002bceaf387608a27827a95854b0a33ecad5c83255f03b98bfe18fe5e9768,PEXE,1/17/18 7:53,C0006,KoreanSpeakingActor,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/mcafee-uncovers-operation-honeybee-malicious-document-campaign-targeting-humanitarian-aid-groups/,North Korean Threat Actors,,,,
6972ba198ed0d30de9f66be5777ecdba2d657078f138325ee6db225c20b29e6e,,5/7/19 12:54,C0014,APT20,https://assets.bwbx.io/documents/users/iqjWHBFdfxIU/r2j8hGaMCSHM/v0,C# code of the XServer backdoor,,,,
6a3446b8a47f0ab4f536015218b22653fff8b18c595fbc5b0c09d857eba7c7a1,OOXML,5/15/20 2:00,C0022,Lazarus,,"Third Infection Method, Operation Dream Job",,,,
6d707e647427f1ff4a7a9420188a8831f433ad8c5325dc8b8cc6fc5e7f1f6f47,PEXE,6/13/17 12:25,C0025,Sandworm,,,,,,
6d726ae18ac70927a0424b7b3761bfb6241828a92b0efdebb74315549a82fe9d,OOXML,7/23/20 9:24,C0022,Lazarus,https://www.clearskysec.com/wp-content/uploads/2020/08/Dream-Job-Campaign.pdff,"Third Infection Method, Operation Dream Job",,,,
6f7f142089b1d2e48880f59362c7c50e5d193166bdd5e4b27318133e8fe27b2c,PEXE,1/6/19 4:06,C0007,TAG-16,https://www.bitdefender.com/files/News/CaseStudies/study/379/Bitdefender-Whitepaper-Chinese-APT.pdf,https://apt.etda.or.th/cgi-bin/showcard.cgi?g=FunnyDream&n=1,,,,
70f45a7bbddda140695b953254650486733d8039c63e4eaeb454c1189a97989b,PEXE,7/16/20 14:37,C0022,Lazarus,https://www.clearskysec.com/wp-content/uploads/2020/08/Dream-Job-Campaign.pdf,Operation Dream Job,,,,
70f66e3131cfbda4d2b82ce9325fed79e1b3c7186bdbb5478f8cbd49b965a120,OOXML,6/9/20 3:07,C0022,Lazarus,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/operation-north-star-a-job-offer-thats-too-good-to-be-true/,"Third Infection Method, Operation Dream Job",,,,
75ac4478c1729d1b5434724cf0c2bd53cc5940d251a4ca07b17c239c8f62da8d,PEXE,12/19/19 13:10,C0014,APT20,https://assets.bwbx.io/documents/users/iqjWHBFdfxIU/r2j8hGaMCSHM/v0,Hashes for the old version of the CheckAdmin tool,,,,
7907dd95c1d36cf3dc842a1bd804f0db511a0f68f4b3d382c23a3c974a383cad,PEXE,11/10/17 21:44,C0025,Sandworm,,,,,,
7933716892e0d6053057f5f2df0ccadf5b06dc739fea79ee533dd0cec98ca971,OOXML,5/27/20 3:47,C0022,Lazarus,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/operation-north-star-a-job-offer-thats-too-good-to-be-true/,"Operation North Star, Operation Death Note",,,,
795acde1e841354fd82b8ae976fba9bfc620bc85ec374a891a40776a7d1fbcdc,PEXE,1/17/18 4:39,C0006,KoreanSpeakingActor,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/mcafee-uncovers-operation-honeybee-malicious-document-campaign-targeting-humanitarian-aid-groups/,North Korean Threat Actors,,,,
7a3d7f1dc1e5d42e278785149a382651c70a8f967a153e1960cffff5f92eaa33,PEXE,1/24/21 6:10,C0007,TAG-16,,https://apt.etda.or.th/cgi-bin/showcard.cgi?g=FunnyDream&n=1,,,,
7aadcb53ca413648eba86d01490038d4c0763bceb5875abceb10da12d4d6a2dd,PEXE,7/23/19 19:31,C0007,TAG-16,https://www.bitdefender.com/files/News/CaseStudies/study/379/Bitdefender-Whitepaper-Chinese-APT.pdf,https://apt.etda.or.th/cgi-bin/showcard.cgi?g=FunnyDream&n=1,,,,
7b524c3bdd5d5474b6e050084e3f32d2bf7f5c4539b44221e4bc2987b2deb56d,PEXE,11/17/20 18:54,C0007,TAG-16,https://www.bitdefender.com/files/News/CaseStudies/study/379/Bitdefender-Whitepaper-Chinese-APT.pdff,https://apt.etda.or.th/cgi-bin/showcard.cgi?g=FunnyDream&n=1,,,,
7bb93be636b332d0a142ff11aedb5bf0ff56deabba3aa02520c85bd99258406f,PEXE,8/13/20 23:30,C0022,Lazarus,,"RAT, Operation Dream Job",,,,
8266d173465f4dfdaa0bce18cfea65859d174f1f2dac070ec75ac8b5ea57889e,,set(),C0022,Lazarus,https://www.clearskysec.com/wp-content/uploads/2020/08/Dream-Job-Campaign.pdf,Decoy Legitimate File,,,,
85c1790c568176a2d3466fb00d8a49d4f70895eba80c865c5bd2fe7ce8adeaea,OOXML,8/13/20 23:29,C0022,Lazarus,,"Third Infection Method, Operation Dream Job, Decoy Legitimate File",,,,
86981680172bbf0865e7693fe5a2bbe9b3ba12b3f1a1536ef67915daab78004c,CDF,3/2/18 15:42,C0006,KoreanSpeakingActor,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/mcafee-uncovers-operation-honeybee-malicious-document-campaign-targeting-humanitarian-aid-groups/,North Korean Threat Actors,,,,
893e4cca7fe58191d2f6722b383b5e8009d3885b5913dcd2e3577e5a763cdb3f,PEXE,6/13/17 12:25,C0025,Sandworm,https://www.dragos.com/wp-content/uploads/CrashOverride-01.pdf,Port Scanner,,,,
8de4eb52db0ce19d295dd7f1c6e89522d1a09fa26709c058327701b4c436349f,OOXML,7/7/20 15:31,C0022,Lazarus,,"Third Infection Method, Operation Dream Job",,,,
8e6fb36ef98a33ad35f0d3a15f602bb4263441722725cd78fd0257a8d1911ef3,OOXML,8/13/20 23:30,C0022,Lazarus,,"Third Infection Method, Operation Dream Job",,,,
8f79333f2cc38d2259af81b6d0fbfb0731f1e3442c187b19a6538d0e7daf85df,PEXE,3/16/21 9:26,C0007,TAG-16,https://go.recordedfuture.com/hubfs/reports/cta-2021-1208.pdf,https://apt.etda.or.th/cgi-bin/showcard.cgi?g=FunnyDream&n=1,,,,
909d70f6d91957b20a8ed09bcd881fb1416d23b63083c03840edc8c80d256a15,PEXE,3/2/18 15:41,C0006,KoreanSpeakingActor,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/mcafee-uncovers-operation-honeybee-malicious-document-campaign-targeting-humanitarian-aid-groups/,North Korean Threat Actors,,,,
94786066a64c0eb260a28a2959fcd31d63d175ade8b05ae682d3f6f9b2a5a916,,5/26/21 10:45,C0024,APT29,https://www.microsoft.com/en-us/security/blog/2021/05/27/new-sophisticated-email-based-attack-from-nobelium/,,,,,
96c88682880bcb9e657f87ed7e0f4e47b13d0ddfd56abaf78707aa75e1e59fda,PEXE,2/3/18 11:52,C0006,KoreanSpeakingActor,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/mcafee-uncovers-operation-honeybee-malicious-document-campaign-targeting-humanitarian-aid-groups/,North Korean Threat Actors,,,,
99da8843bd007d2487d2251d6f62007ca6ee50884e2f54c13aae98a23b35e8ec,PEXE,1/12/21 20:28,C0005,APT-C-36,https://www.welivesecurity.com/2021/01/12/operation-spalax-targeted-malware-attacks-colombia/,"Identical NSIS Installers, Similar to APT-C-36",,,,
9b33ec7f5e615a6556f147b611425d3ca4a8879ce746d4a8cb62adf4c7f76029,PEXE,1/13/21 4:26,C0023,APT29,https://www.welivesecurity.com/wp-content/uploads/2019/10/ESET_Operation_Ghost_Dukes.pdf,,,,,
9cc387fd485e91fc58a626d2c64b85e0502ba60f3718afd7b5fd6e5b46721bb9,PEXE,8/13/20 16:33,C0022,Lazarus,,"First Infection Vector, Operation Dream Job",,,,
9d0c2e8d0e2430c3e67b2677caff136e562570da162a371e9cfa6602c70b03bb,PEXE,12/9/21 18:32,C0007,TAG-16,https://go.recordedfuture.com/hubfs/reports/cta-2021-1208.pdf,https://apt.etda.or.th/cgi-bin/showcard.cgi?g=FunnyDream&n=1,,,,
a15f8b68df8e444761a7475d3dce311e6315e8f8c43e5f4bfb4873040bc9c232,PEXE,12/5/17 23:25,C0006,KoreanSpeakingActor,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/mcafee-uncovers-operation-honeybee-malicious-document-campaign-targeting-humanitarian-aid-groups/,North Korean Threat Actors,,,,
a1859ce1575ab08b6c3dc2731cef31e358dd3ccfc7d6febaccb6a730bc1d58c0,PEXE,7/9/21 14:33,C0007,TAG-16,https://go.recordedfuture.com/hubfs/reports/cta-2021-1208.pdf,https://apt.etda.or.th/cgi-bin/showcard.cgi?g=FunnyDream&n=1,,,,
a3eca35d14b0e020444186a5faaba5997994a47af08580521f808b1bb83d6063,OOXML,4/27/20 9:13,C0022,Lazarus,,"Third Infection Method, Operation Dream Job",,,,
a81645ee53f986c8a6a1dadeb4a7ad4f74aa8f4e55365531f27d426ce99de148,,set(),C0022,Lazarus,https://www.clearskysec.com/wp-content/uploads/2020/08/Dream-Job-Campaign.pdf,Decoy Legitimate File,,,,
a95449f7c7c1ea5359bd76f25f57b89802d94f649ba059b910d8e46d9a914fcf,PEXE,4/17/20 0:21,C0023,APT29,https://www.welivesecurity.com/wp-content/uploads/2019/10/ESET_Operation_Ghost_Dukes.pdf,,,,,
ac0d7424715b79b4e73c427336e1ce08ec14fb74fd9bc3ab0a2057e1de256c97,PEXE,11/12/17 23:19,C0006,KoreanSpeakingActor,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/mcafee-uncovers-operation-honeybee-malicious-document-campaign-targeting-humanitarian-aid-groups/,North Korean Threat Actors,,,,
ad23c7930dae02de1ea3c6836091b5fb3c62a89bf2bcfb83b4b39ede15904910,PEXE,1/20/17 16:51,C0025,Sandworm,https://www.dragos.com/wp-content/uploads/CRASHOVERRIDE2018.pdf,Destructive Module,,,,
adcdbec0b92da0a39377f5ab95ffe9b6da9682faaa210abcaaa5bd51c827a9e1,OOXML,4/9/20 22:41,C0022,Lazarus,,"First Infection Vector, Operation Dream Job",,,,
adce894e3ce69c9822da57196707c7a15acee11319ccc963b84d83c23c3ea802,PEXE,8/13/20 23:30,C0022,Lazarus,,"First Infection Vector, Operation Dream Job",,,,
b3c811595a0edbed9524a1a71ee9292c19792370c99f856f765a39f80a437418,PEXE,12/9/21 12:28,C0007,TAG-16,https://go.recordedfuture.com/hubfs/reports/cta-2021-1208.pdf,https://apt.etda.or.th/cgi-bin/showcard.cgi?g=FunnyDream&n=1,,,,
b76b6bbda8703fa801898f843692ec1968e4b0c90dfae9764404c1a54abf650b,PEXE,4/23/20 21:47,C0022,Lazarus,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/operation-north-star-a-job-offer-thats-too-good-to-be-true/,"Final Implant, Operation North Star, Operation Death Note",,,,
